tracer,recon,method,alpha1_name,alpha1_mean,alpha1_std,alpha1_std_stat,alpha2_name,alpha2_mean,alpha2_std,alpha2_std_stat,r_off,chi2,dof
bgs,Pre,chain,qiso,0.9590,0.0276,0.0275,-,-,-,-,-,20.8721,19
bgs,Post,chain,qiso,0.9734,0.0210,0.0209,-,-,-,-,-,20.5035,19
elg1,Pre,chain,qiso,0.9429,0.0696,0.0696,-,-,-,-,-,43.8249,19
elg1,Post,chain,qiso,0.9876,0.0207,0.0206,-,-,-,-,-,21.0552,19
elg2,Pre,chain,qiso,0.9866,0.0187,0.0185,qap,0.9512,0.0626,0.0625,-0.0047,44.9158,39
elg2,Post,chain,qiso,0.9934,0.0152,0.0150,qap,0.9789,0.0452,0.0451,-0.3468,43.9756,39
lrg1,Pre,chain,qiso,0.9753,0.0170,0.0168,qap,0.9394,0.0600,0.0600,0.3116,29.1522,39
lrg1,Post,chain,qiso,0.9788,0.0112,0.0110,qap,0.9163,0.0368,0.0367,-0.0176,44.7203,39
lrg2,Pre,chain,qiso,0.9493,0.0195,0.0193,qap,1.0206,0.0796,0.0795,0.4467,37.1434,39
lrg2,Post,chain,qiso,0.9623,0.0114,0.0112,qap,1.0389,0.0423,0.0422,0.0103,44.5881,39
lrg3,Pre,chain,qiso,1.0057,0.0130,0.0128,qap,1.0167,0.0481,0.0480,0.2279,34.1957,39
lrg3,Post,chain,qiso,1.0027,0.0097,0.0093,qap,1.0028,0.0299,0.0298,-0.1582,31.8043,39
lrg3_elg1,Pre,chain,qiso,1.0045,0.0114,0.0112,qap,1.0407,0.0442,0.0441,0.2630,50.0024,39
lrg3_elg1,Post,chain,qiso,0.9995,0.0088,0.0084,qap,1.0211,0.0284,0.0283,-0.0731,29.1169,39
qso,Pre,chain,qiso,0.9946,0.0201,0.0199,-,-,-,-,-,8.7361,19
qso,Post,chain,qiso,1.0031,0.0228,0.0226,-,-,-,-,-,33.4949,19
